CustomerID,AccountBalance,CurrInterestRate,DateAccOpened,DateCDDue,
423453245,68541,1.9,6/18/2017,4/19/2019,
345653425,651,1.9,7/31/2017,11/7/2018,
423148894,1,1.9,1/7/2017,
677879013,651,1.9,4/26/2018,
423567890,1556,1.9,4/12/2017,
345812332,1589,1.9,6/4/2018,
345879912,20558,1.9,7/14/2018,1/5/2019,
423168945,561,1.9,7/16/2017,
233435656,13233,1.9,6/11/2018,
345679898,9014,1.9,4/28/2018,
423148894,1000000000,1.9,5/29/2017,
345599870,9950,1.9,7/27/2017,
435678787,3504,1.9,7/4/2017,
563432913,54654,1.9,10/9/2017,
