CustomerID,CheckingBalance,hasBackup,hasATM,Overdrafts,DateOpened,
423453245,789.98,true,false,0,01/30/2008,
345879912,354.03,false,true,0,02/20/2002,
423148894,49.83,true,true,0,03/07/2012,
677879013,148.34,false,true,1,04/15/2017,
345599870,9.54,true,true,2,05/06/2007,
345812332,760.45,true,false,1,06/05/2005,
345879912,9876.54,true,true,0,07/11/2001,
423168945,5874.01,false,true,0,08/14/2015,
285482889,3907.34,true,true,1,09/27/2016,
530360844,3861.97,true,true,1,10/25/2018,
771071482,34.25,false,false,0,11/17/2017,
311925515,72.63,true,true,0,12/30/2009,
851593249,6200.75,false,true,0,01/06/1998,
842297994,1001.87,true,true,1,03/04/2013,
859073870,3476.01,true,true,0,05/31/2000,
137068199,897.99,false,false,3,07/01/2001,
591695408,8850.0,true,true,0,09/10/2005,
228693235,909.09,false,true,2,11/09/1999,
535565040,1567.32,true,true,1,02/12/2016,
377969391,0.01,false,true,0,04/04/2018,
