CustomerID,CurrentBalance,PaymentsMade,Limit/InitialAmount,CurrentPaymentDue,InterestDue,PrincipalDue,CurrentInterestRate,DateAccountOpened,DatePaymentDue,DateLastPaymentMade,MissedPaymentFlag,AccountType,
285482889,40000.0,0.0,40000.0,375.37,256.67,118.7,0.077,09/09/2018,12/01/2018,09/09/2018,false,long term,
530360844,10000.0,0.0,10000.0,170.94,8.33,162.61,0.01,09/09/2018,12/01/2018,09/09/2018,false,short term,
771071482,150000.0,0.0,150000.0,1407.62,962.5,445.12,0.077,09/09/2018,12/01/2018,09/09/2018,false,long term,
851593249,81.93,0.0,900.0,78.03,0.07,77.96,0.01,09/09/2018,12/01/2018,09/09/2018,false,credit card,
842297994,859.19,0.0,1000.0,720.49,4.8,715.69,0.077,09/09/2018,12/01/2018,09/09/2018,false,credit card,
345679898,4.19,0.0,850.0,3.99,0.0,3.99,0.01,09/09/2018,12/01/2018,09/09/2018,false,credit card,
345879912,1055.38,0.0,1100.0,703.58,12.9,690.68,0.2,09/09/2018,12/01/2018,09/09/2018,false,credit card,
771071482,1043.68,0.0,900.0,521.83,10.44,511.39,0.2,09/09/2018,12/01/2018,09/09/2018,false,credit card,
377969391,15000.0,0.0,15000.0,361.59,195.0,166.59,0.156,09/14/2018,12/01/2018,09/14/2018,false,short term,
423168945,29999.0,0.0,29999.0,794.79,499.98,294.81,0.2,09/09/2018,12/01/2018,09/14/2018,false,short term,
311925515,11299.0,0.0,11299.0,299.35,188.32,111.03,0.2,09/09/2018,12/01/2018,09/14/2018,false,short term,
535565040,16999.0,0.0,16999.0,450.37,283.32,167.05,0.2,09/09/2018,12/01/2018,09/14/2018,false,short term,
591695408,19001.0,0.0,19001.0,503.41,316.68,186.73,0.2,09/09/2018,12/01/2018,09/14/2018,false,short term,
535565040,60000.0,0.0,60000.0,1053.78,1000.0,53.78,0.2,09/09/2018,12/01/2018,09/14/2018,false,long term,
345679898,22500.0,0.0,22500.0,596.11,375.0,221.11,0.2,09/09/2018,12/01/2018,09/14/2018,false,short term,
859437289,2136741.67,2.59,2200000.0,38638.52,35612.36,3026.16,0.2,11/17/2018,02/17/2019,11/17/2018,true,long term,
423168945,71.51,0.0,72.22,70.8,0.0,0.0,0.01,11/17/2018,12/01/2018,11/17/2018,false,credit card,
859073870,40.85,0.0,42.45,40.45,0.0,0.0,0.01,11/17/2018,12/01/2018,11/17/2018,false,credit card,
591695408,295.44,0.0,308.88,292.08,0.0,0.0,0.023,11/17/2018,12/01/2018,11/17/2018,false,credit card,
228693235,539.88,0.0,899.8,449.9,0.0,0.0,0.2,11/17/2018,12/01/2018,11/17/2018,false,credit card,
285482889,148.72,0.0,180.28,140.83,0.0,0.0,0.056,11/17/2018,12/01/2018,11/17/2018,false,credit card,
